#Table: J/A+A/437/883/catalog.dat (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------
           | R  R          D  D      |     |    |        | Cl|                 |
q0055_00246|00 58 01.992 -26 43 44.60|18.97|4.24|0.669  1|1  |speQ00_00246.fits|FITS file
q0055_00247|00 58 07.079 -26 43 47.06|19.89|4.54|0.931  1|1  |speQ00_00247.fits|FITS file
q0055_00249|00 57 53.307 -26 43 48.83|17.69|3.76|0.564  1|2  |speQ00_00249.fits|FITS file
q0055_00251|00 58 06.901 -26 43 49.95|19.41|4.75|0.931  0|-  |speQ00_00251.fits|FITS file
q0055_00255|00 57 50.818 -26 43 52.52|18.75|4.72|1.105  0|-  |speQ00_00255.fits|FITS file
q0055_00256|00 58 05.795 -26 43 52.79|17.72|4.58|0.835  0|-  |speQ00_00256.fits|FITS file
q0055_00262|00 58 08.420 -26 43 55.40|19.45|3.85|1.075  1|2  |speQ00_00262.fits|FITS file
q0055_00265|00 58 00.401 -26 43 57.46|19.87|4.72|1.046  0|-  |speQ00_00265.fits|FITS file
q0055_00268|00 58 03.297 -26 44 00.19|19.39|5.32|1.826  1|-  |speQ00_00268.fits|FITS file
q0055_00270|00 57 51.277 -26 44 01.84|18.77|5.43|1.243  1|1.5|speQ00_00270.fits|FITS file
q0055_00272|00 57 51.622 -26 44 02.13|19.51|3.78|0.927  1|2  |speQ00_00272.fits|FITS file
q0055_00277|00 57 55.430 -26 44 08.89|19.63|3.23|0.681  1|2  |speQ00_00277.fits|FITS file
q0055_00279|00 58 05.269 -26 44 10.66|19.26|3.07|0.668  1|2  |speQ00_00279.fits|FITS file
q0055_00284|00 58 06.421 -26 44 15.15|17.28|4.23|0.668  1|1.5|speQ00_00284.fits|FITS file
q0055_00286|00 58 01.008 -26 44 15.90|19.22|3.07|0.755  1|2  |speQ00_00286.fits|FITS file
q0055_00287|00 58 05.951 -26 44 16.54|17.81|3.48|0.000  1|0  |speQ00_00287.fits|FITS file
q0055_00291|00 58 07.672 -26 44 17.06|18.85|3.31|0.680  1|2  |speQ00_00291.fits|FITS file
q0055_00292|00 58 08.099 -26 44 17.76|17.67|2.64|1.119  1|4  |speQ00_00292.fits|FITS file
q0055_00294|00 58 07.245 -26 44 18.80|19.73|2.98|1.129  1|2  |speQ00_00294.fits|FITS file
q0055_00295|00 57 56.443 -26 44 20.92|18.16|5.59|1.166  1|1  |speQ00_00295.fits|FITS file
q0055_00297|00 57 55.098 -26 44 22.08|18.14|3.50|0.566  1|2  |speQ00_00297.fits|FITS file
q0055_00298|00 58 07.496 -26 44 21.19|19.49|3.00|0.670  1|2  |speQ00_00298.fits|FITS file
q0055_00299|00 57 50.179 -26 44 22.70|19.38|5.39|     I-1|-  |speQ00_00299.fits|FITS file
q0055_00303|00 58 04.926 -26 44 24.69|18.63|4.34|0.670  1|1.5|speQ00_00303.fits|FITS file
q0055_00304|00 57 54.969 -26 44 25.38|19.33|2.30|0.234  1|2  |speQ00_00304.fits|FITS file
q0055_00305|00 58 05.336 -26 44 26.42|19.41|4.62|0.931  1|1.5|speQ00_00305.fits|FITS file
q0055_00306|00 58 03.286 -26 44 27.84|18.25|3.42|0.000  1|0  |speQ00_00306.fits|FITS file
q0055_00308|00 57 50.254 -26 44 29.98|16.16|2.00|0.000  1|0  |speQ00_00308.fits|FITS file
q0055_00311|00 57 49.854 -26 44 31.79|19.41|3.40|0.457  1|2  |speQ00_00311.fits|FITS file
q0055_00313|00 58 04.701 -26 44 32.10|19.09|6.06|     I-1|-  |speQ00_00313.fits|FITS file
q0055_00315|00 58 00.410 -26 44 34.39|19.26|3.63|0.866  1|2  |speQ00_00315.fits|FITS file
q0055_00316|00 57 52.380 -26 44 37.20|17.57|3.63|0.461  1|2  |speQ00_00316.fits|FITS file
q0055_00318|00 58 01.237 -26 44 38.15|18.80|5.07|0.896  1|1  |speQ00_00318.fits|FITS file
q0055_00323|00 58 07.614 -26 44 41.34|19.10|4.86|0.897  0|-  |speQ00_00323.fits|FITS file
q0055_00324|00 57 54.439 -26 44 41.87|19.41|3.50|1.103  1|2  |speQ00_00324.fits|FITS file
q0055_00325|00 58 01.169 -26 44 43.65|17.79|2.55|0.217  1|2  |speQ00_00325.fits|FITS file
q0055_00329|00 57 53.990 -26 44 46.45|18.25|4.42|0.930  1|2  |speQ00_00329.fits|FITS file
q0055_00330|00 58 05.831 -26 44 45.60|19.77|4.63|0.897  1|2  |speQ00_00330.fits|FITS file
q0055_00331|00 58 06.197 -26 44 46.64|17.86|5.09|0.896  1|1  |speQ00_00331.fits|FITS file
q0055_00332|00 57 55.310 -26 44 46.19|19.45|3.81|0.456  1|2  |speQ00_00332.fits|FITS file
q0055_00333|00 57 59.700 -26 44 47.30|19.64|1.79|0.111  1|2  |speQ00_00333.fits|FITS file
q0055_00335|00 58 07.619 -26 44 49.07|19.06|4.21|0.933  0|-  |speQ00_00335.fits|FITS file
q0055_00336|00 57 58.279 -26 44 50.95|19.14|2.71|0.498  1|2  |speQ00_00336.fits|FITS file
q0055_00338|00 58 06.799 -26 44 51.40|18.16|4.96|0.931  1|1  |speQ00_00338.fits|FITS file
q0055_00339|00 58 06.710 -26 44 54.07|18.17|5.12|0.935  1|1.5|speQ00_00339.fits|FITS file
q0055_00340|00 57 49.122 -26 44 51.67|19.42|2.55|0.480  1|2  |speQ00_00340.fits|FITS file
q0055_00343|00 58 06.208 -26 44 56.17|18.31|4.64|0.893  1|2  |speQ00_00343.fits|FITS file
q0055_00349|00 57 52.438 -26 44 58.54|19.30|2.54|0.499  1|2  |speQ00_00349.fits|FITS file
q0055_00352|00 57 59.175 -26 45 02.66|15.93|3.08|0.110  1|1  |speQ00_00352.fits|FITS file
q0055_00353|00 58 06.436 -26 45 02.68|19.14|4.26|0.935  1|2  |speQ00_00353.fits|FITS file
q0055_00354|00 57 50.158 -26 45 03.16|19.28|4.60|1.715  1|-  |speQ00_00354.fits|FITS file
q0055_00358|00 57 53.179 -26 45 05.58|19.11|4.56|-      -|-  |                 |NOT OBSERVED
q0055_00361|00 57 56.502 -26 45 07.89|19.78|1.75|0.456  1|2  |speQ00_00361.fits|FITS file
q0055_00368|00 58 03.361 -26 45 13.12|19.92|3.75|0.764  1|2  |speQ00_00368.fits|FITS file
q0055_00370|00 57 49.422 -26 45 17.30|18.65|2.80|0.501  1|2  |speQ00_00370.fits|FITS file
q0055_00375|00 58 00.302 -26 45 19.77|18.25|6.06|-      -|-  |speQ00_00375.fits|FITS file
q0055_01062|00 58 08.669 -26 44 51.64|18.17|3.51|0.521  1|1.5|speQ00_01062.fits|FITS file
q0055_01066|00 58 08.607 -26 41 12.37|19.36|5.37|     I-1|-  |speQ00_01066.fits|FITS file
q0055_01070|00 58 08.668 -26 42 27.04|19.50|2.55|0.662  1|2  |speQ00_01070.fits|FITS file
q0055_01253|00 58 04.296 -26 45 15.24|19.92|2.54|0.528  1|2  |speQ00_01253.fits|FITS file
q0055_01307|00 58 07.308 -26 42 03.83|19.92|2.86|2.730  0|-  |speQ00_01307.fits|FITS file
q0055_02111|00 58 01.325 -26 42 22.52|19.62|5.72|-      -|-  |                 |NOT OBSERVED
q0055_02142|00 57 56.251 -26 42 43.37|17.42|2.75|0.599  1|2  |speQ00_02142.fits|FITS file
q0055_02204|00 58 00.709 -26 43 21.94|18.33|4.84|0.670  1|2  |speQ00_02204.fits|FITS file
q0055_03001|00 58 08.252 -26 42 26.43|19.96|2.97|-      -|-  |                 |NOT OBSERVED
q0055_03002|00 58 06.822 -26 41 00.15|19.96|5.60|-      -|-  |                 |NOT OBSERVED
q0055_03003|00 58 05.028 -26 43 29.22|19.96|4.49|-      -|-  |                 |NOT OBSERVED
q0055_03004|00 58 04.986 -26 44 56.81|19.96|4.25|0.981  0|-  |speQ00_03004.fits|FITS file
q0055_03005|00 57 52.649 -26 40 58.41|19.97|2.68|1.515  1|2  |speQ00_03005.fits|FITS file
q0055_03006|00 57 52.516 -26 43 26.61|19.96|3.25|0.798  1|2  |speQ00_03006.fits|FITS file
q0055_03007|00 57 51.822 -26 44 46.07|19.96|3.14|3.974  0|-  |speQ00_03007.fits|FITS file
q0055_03008|00 57 51.306 -26 42 10.62|19.98|5.93|-      -|-  |                 |NOT OBSERVED
--------------------------------------------------------------------------------------------
